,Αριθμός Ταυτότητας,Ημερομηνία Έκδοσης,Όνομα,Given Name,Επώνυμο,Surname,Πατρώνυμο,Mητέρας Όνομα,Επίθετο Μητέρας,Ημερομηνία Γέννησης,Καταγωγή,Ύψος,Δημότης,Αρχή Έκδοσης Δελτίου
672,YT0004052,20/02/2011,Αλέξανδρος,Alexandros,Βαλασίδης,Balasides,Αγησίλαος,Μαλαματένια,Λυμαξή,26/01/1989,Ιωάννινα Χαλκίδα,-,Ιωάννινα 54550/7,Υ.Α. Χαλκίδα Ιωάννινα
673,P9712802,14/03/2015,Βαλέριος,Balerios,Ζαχαρίου,Zakhariou,Ιούλιος,Γαρυφαλλιά,Κατσιλλή,05/01/1934,Δράμα Ρόδος,-,Καβάλα 34209/7,Υ.Α. Ρόδος Δράμα
674,H7688007,09/09/2009,Μικές,Mikes,Σταθάτος,Stathatos,Πολύκαρπος,Ναταλία,Φραγκιαδάκη,22/08/1935,Αιτωλία & Ακαρνανία Ρέθυμνο,-,Χίος 92654/8,Υ.Α. Ρέθυμνο Αιτωλία & Ακαρνανία
675,MI0798228,28/07/2009,Καλλίνικος,Kallinikos,Μπακοστεργίου,Mpakostergiou,Νικηφόρος,Ζαφειρία,Πατινιωτάκη,01/12/2010,Γρεβενά Γρεβενά,-,Καρπενήσι 91726/1,Υ.Α. Γρεβενά Γρεβενά
676,T4117631,31/08/2017,Ανδρονίκη,Andronike,Αλεξανδράκη,Alexandrake,Ανδρόνικος,Αφροδίτη,Μαρτζούκου,14/09/1937,Καβάλα Σέρρες,-,Αργοστόλι 73290/1,Υ.Α. Σέρρες Καβάλα
677,IN8004682,26/03/2020,Σπυρίδων,Spuridon,Γραμματικόπουλος,Grammatikopoulos,Ισίδωρος,Δανάη,Χρυσανθακοπούλου,12/08/1954,Σάμος Πάτρα,-,Λάρισα 50897/1,Υ.Α. Πάτρα Σάμος
678,YP2799441,14/01/2016,Σταύρος,Stauros,Μάνος,Manos,Λυκούργος,Μαρίνα,Μαγούλα,15/04/1969,Λέσβος Κόρινθος,-,Πολύγυρος 75042/1,Υ.Α. Κόρινθος Λέσβος
679,BO7103166,30/10/2018,Κλυταιμνήστρα,Klutaimnestra,Κανταρελή,Kantarele,Στέφανος,Κασσιανή,Μπαλλή,19/06/1965,Φθιώτιδα Ερμούπολη,-,Έδεσσα 57553/3,Υ.Α. Ερμούπολη Φθιώτιδα
680,ZO8164427,06/11/2010,Φλώρα,Phlora,Κουκουβά,Koukouba,Σωτήριος,Πολυτίμη,Θωμάκου,11/08/1915,Αττική Κιλκίς,-,Μυτιλήνη 06852/7,Υ.Α. Κιλκίς Αττική
681,TE0444128,30/12/2006,Καλλιόπη,Kalliope,Βαλκάνου,Balkanou,Μίνωας,Ροδόκλεια,Τυμβίου,24/11/1948,Θεσπρωτία Δράμα,-,Κιλκίς 11261/3,Υ.Α. Δράμα Θεσπρωτία
682,E3960697,06/03/2016,Γεσθημανή,Gesthemane,Τσιωλξ,Tsiolx,Αρίσταρχος,Μαλαμάτη,Κουτσουρέλη,17/12/1915,Λάρισσα Σάμος,-,Ιωάννινα 19586/4,Υ.Α. Σάμος Λάρισσα
683,H4527968,08/06/2015,Ησαΐας,EsaIas,Κτενίδης,Ktenides,Αγαμέμνων,Θωμαίς,Νάντσου,24/01/1919,Χανιά Σπάρτη,-,Σάμος 48290/8,Υ.Α. Σπάρτη Χανιά
684,H4082180,20/01/2021,Ασπασία,Aspasia,Σακκή,Sakke,Νέαρχος,Ιοκάστη,Πέτση,29/12/1979,Ημαθία Αργοστόλι,-,Λευκάδα 70970/9,Υ.Α. Αργοστόλι Ημαθία
685,YA3419650,19/03/2009,Ισιδώρα,Isidora,Ανεζάκη,Anezake,Άριστος,Παναγιώτα,Βερβίτη,08/08/1984,Λασσίθι Καρπενήσι,-,Καβάλα 77486/1,Υ.Α. Καρπενήσι Λασσίθι
686,N8422506,02/08/2013,Παναγής,Panages,Καρακάξης,Karakaxes,Μάριος,Θεοφύλακτη,Βουτσινά,08/03/1977,Ηράκλειο Αθήνα,-,Πολύγυρος 58605/3,Υ.Α. Αθήνα Ηράκλειο
687,O6066893,02/11/2007,Πολυχρονία,Polukhronia,Σκρεμμύδα,Skremmuda,Μενέλαος,Κλειώ,Κοτσινά,10/10/1920,Βοιωτία Ιωάννινα,-,Πρέβεζα 41629/2,Υ.Α. Ιωάννινα Βοιωτία
688,YM2872481,21/07/2008,Σελήνη,Selene,Πετσιά,Petsia,Αγάπιος,Νεκταρία,Μαργαριτάκη,26/12/1917,Αττική Κιλκίς,-,Χανιά 96560/1,Υ.Α. Κιλκίς Αττική
689,P9995482,19/07/2008,Τηλεμαχος,Telemakhos,Δουμάς,Doumas,Ευάγγελος,Θεοδούλη,Μαλλή,08/11/1985,Πρέβεζα Αγ. Νικόλαος,-,Κέρκυρα 97504/3,Υ.Α. Αγ. Νικόλαος Πρέβεζα
690,X6033355,31/03/2011,Δωροθέα,Dorothea,Κουκουβά,Koukouba,Μερκούριος,Λυγερή,Κυρκούδη,01/08/1996,Δράμα Λιβαδιά,-,Άμφισσα 51938/4,Υ.Α. Λιβαδιά Δράμα
691,N6210561,03/11/2014,Ιωσηφίνα,Iosephina,Παπακωνσταντίνου,Papakonstantinou,Ευδόξιος,Ανδρομέδα,Γρίβα,12/07/1942,Έβρος Μυτιλήνη,-,Ζάκυνθος 40919/3,Υ.Α. Μυτιλήνη Έβρος
692,MA2982052,06/04/2011,Βελισσαρία,Belissaria,Κόλλια,Kollia,Ασημάκης,Θεολογία,Μαρτιάδου,21/09/1925,Καστοριά Ναύπλιο,-,Χαλκίδα 12343/7,Υ.Α. Ναύπλιο Καστοριά
693,Y5871013,20/03/2017,Αχιλλέας,Akhilleas,Γιαννούκος,Giannoukos,Βάιος,Όλγα,Σιμητοπούλου,23/03/1920,Πιερία Κιλκίς,-,Κοζάνη 55235/4,Υ.Α. Κιλκίς Πιερία
694,N4221133,15/08/2010,Διογένης,Diogenes,Νασιόπουλος,Nasiopoulos,Σταύρος,Σεμίνα,Ιωακειμίδου,22/11/1940,Ζάκυνθος Καβάλα,-,Σπάρτη 61055/4,Υ.Α. Καβάλα Ζάκυνθος
695,M8235574,16/08/2011,Κλημεντίνη,Klementine,Χασάπη,Khasape,Ταξιάρχης,Καλλίνικη,Ανανιάδου,27/11/1958,Φθιώτιδα Άμφισσα,-,Σάμος 03822/4,Υ.Α. Άμφισσα Φθιώτιδα
696,EB1477317,23/09/2016,Απόλλων,Apollon,Καρούντζος,Karountzos,Αγαθοκλής,Σμαράγδα,Χωριανοπούλου,28/05/1938,Κιλκίς Ξάνθη,-,Γρεβενά 84590/2,Υ.Α. Ξάνθη Κιλκίς
697,AN0540596,29/03/2016,Ευαγγελία,Euaggelia,Φραγκιαδάκη,Phragkiadake,Ζηνόβιος,Παναγία,Πάνου,31/03/2007,Κοζάνη Άμφισσα,-,Αργοστόλι 47436/6,Υ.Α. Άμφισσα Κοζάνη
698,BB6459487,25/02/2012,Βησσαρία,Bessaria,Σάουερ,Saouer,Μενέλαος,Βεατρίκη,Φλασκή,11/04/1970,Χανιά Σπάρτη,-,Δράμα 77592/5,Υ.Α. Σπάρτη Χανιά
699,T2856040,05/07/2014,Θεολόγος,Theologos,Σοφιανός,Sophianos,Πασχάλης,Ελέσσα,Γεωργαρά,23/07/1988,Μεσσηνία Αγ. Νικόλαος,-,Χανιά 10936/8,Υ.Α. Αγ. Νικόλαος Μεσσηνία
700,TZ8763667,28/12/2010,Όμηρος,Omeros,Μαντζώρος,Mantzoros,Αθηνόδωρος,Νεκταρία,Πέττα,01/03/1975,Κοζάνη Τρίκαλα,-,Κομοτηνή 92906/2,Υ.Α. Τρίκαλα Κοζάνη
701,Z9556534,23/08/2011,Σοφοκλής,Sophokles,Μαμμής,Mammes,Ιγνάτιος,Κυπριανή,Καραγρηγορίου,20/06/1943,Πιερία Αλεξανδρούπολη,-,Κέρκυρα 93109/2,Υ.Α. Αλεξανδρούπολη Πιερία
702,PZ9456219,08/06/2015,Μεταξία,Metaxia,Μυτάρη,Mutare,Δήμος,Αδαμαντία,Παπαδήμα,07/05/1918,Καστοριά Τρίπολη,-,Πρέβεζα 12330/7,Υ.Α. Τρίπολη Καστοριά
703,K4018205,21/03/2007,Προκόπιος,Prokopios,Μανίκας,Manikas,Αφέντης,Τρυφωνία,Γρηγοριάδου,20/10/1972,Σάμος Καβάλα,-,Μεσολόγγι 54136/6,Υ.Α. Καβάλα Σάμος
704,IA0683717,01/06/2010,Χρύσανθος,Khrusanthos,Σιγανός,Siganos,Δρόσος,Φεβρωνία,Οικονόμου,29/08/2001,Μαγνησία Αγ. Νικόλαος,-,Κόρινθος 52719/3,Υ.Α. Αγ. Νικόλαος Μαγνησία
705,Z6921894,24/12/2012,Περιστέρα,Peristera,Κουλαουσάρη,Koulaousare,Φώτιος,Δούκισσα,Χατζηφώτη,28/10/1974,Ημαθία Κοζάνη,-,Χανιά 50748/8,Υ.Α. Κοζάνη Ημαθία
706,PM3024112,16/05/2017,Στέργιος,Stergios,Ζουκής,Zoukes,Τζανέτος,Υπαπαντή,Μανουσοπούλου,17/07/1997,Αιτωλία & Ακαρνανία Κομοτηνή,-,Αλεξανδρούπολη 23609/9,Υ.Α. Κομοτηνή Αιτωλία & Ακαρνανία
707,HZ0575261,07/07/2006,Στεφανία,Stephania,Καργάκου,Kargakou,Νεκτάριος,Καλομοίρα,Εμμανουήλ,09/06/1962,Ζάκυνθος Πολύγυρος,-,Ναύπλιο 95870/4,Υ.Α. Πολύγυρος Ζάκυνθος
708,B0176752,13/05/2019,Ίκαρος,Ikaros,Παπαγιαννακόπουλος,Papagiannakopoulos,Παυσανίας,Αμφιθέα,Παπαθωμά,20/04/1969,Γρεβενά Λαμία,-,Ζάκυνθος 76697/2,Υ.Α. Λαμία Γρεβενά
709,X6801290,01/06/2021,Γκόλφω,Gkolpho,Αρσενάκη,Arsenake,Ερμόλαος,Ροδόκλεια,Τσαμπούρη,13/05/1991,Θεσσαλονίκη Ιωάννινα,-,Αγ. Νικόλαος 84383/9,Υ.Α. Ιωάννινα Θεσσαλονίκη
710,XN4325252,07/08/2015,Βενετία,Benetia,Τόμπρη,Tompre,Γρηγόριος,Βησσαρία,Τζαναβάρα,04/05/1919,Άρτα Ρέθυμνο,-,Μυτιλήνη 68021/7,Υ.Α. Ρέθυμνο Άρτα
711,EO6335939,17/10/2007,Βαρσαμία,Barsamia,Κοφινάκη,Kophinake,Μελέτιος,Ιοκάστη,Χαλκίδου,01/04/1937,Σάμος Χαλκίδα,-,Θεσσαλονίκη 65445/3,Υ.Α. Χαλκίδα Σάμος
712,KB4004950,31/12/2015,Ήβη,Ebe,Καλαθά,Kalatha,Θεόκλητος,Ευγενία,Σκυλογιάννη,19/05/1915,Μεσσηνία Άρτα,-,Βέροια 57318/2,Υ.Α. Άρτα Μεσσηνία
713,KO3424382,09/07/2013,Κυριαζής,Kuriazes,Ανδρεανίδης,Andreanides,Κάρολος,Κόσμια,Γιανναρά,31/03/1933,Ζάκυνθος Βόλος,-,Μυτιλήνη 01790/5,Υ.Α. Βόλος Ζάκυνθος
714,HZ3989051,19/12/2015,Αικατερίνη,Aikaterine,Κουτσικούρη,Koutsikoure,Πυθαγόρας,Καλυψώ,Κωνσταντινίδου,11/04/1929,Ηράκλειο Ηράκλειο,-,Αλεξανδρούπολη 19285/3,Υ.Α. Ηράκλειο Ηράκλειο
715,EM6916596,30/10/2016,Ευδόξιος,Eudoxios,Βασιλείου,Basileiou,Χαρίτος,Σεμίνα,Τσικνή,21/01/1987,Πιερία Τρίκαλα,-,Πάτρα 02877/8,Υ.Α. Τρίκαλα Πιερία
716,AN4269009,02/02/2009,Διαμαντούλα,Diamantoula,Χορόζη,Khoroze,Βαλέριος,Έλλη,Παπανδρέου,20/01/1946,Αρκαδία Αγ. Νικόλαος,-,Ρέθυμνο 05814/4,Υ.Α. Αγ. Νικόλαος Αρκαδία
717,X5904311,05/03/2017,Ηλέκτρα,Elektra,Γεωργίτση,Georgitse,Φρίξος,Βαγιανή,Μπελέκου,25/09/1978,Καρδίτσα Μεσολόγγι,-,Ξάνθη 51921/4,Υ.Α. Μεσολόγγι Καρδίτσα
718,I7459772,13/06/2012,Τζένη,Tzene,Νώε,Noe,Νεόφυτος,Κωστούλα,Σπηλιάδου,03/05/1963,Ρέθυμνο Κατερίνη,-,Λάρισα 89239/5,Υ.Α. Κατερίνη Ρέθυμνο
719,OZ3111633,02/08/2015,Ραλλία,Rallia,Σγουρένα,Sgourena,Παράσχος,Κλαίρη,Σταυρίδου,25/02/1912,Κιλκίς Κομοτηνή,-,Πάτρα 53002/8,Υ.Α. Κομοτηνή Κιλκίς
720,N1029726,30/10/2007,Ιάσονας,Iasonas,Γεράρδης,Gerardes,Ευθύμιος,Κρινιώ,Γεωργή,19/02/1912,Εύβοια Ρέθυμνο,-,Μυτιλήνη 03705/1,Υ.Α. Ρέθυμνο Εύβοια
721,P7656704,22/07/2007,Παράσχος,Paraskhos,Ζιώγος,Ziogos,Φρειδερίκος,Ηράκλεια,Παντίσκα,14/05/1943,Σάμος Χίος,-,Χίος 62687/9,Υ.Α. Χίος Σάμος
722,EK6863920,20/10/2009,Ιερόθεος,Ierotheos,Κουκλατζής,Kouklatzes,Στέργιος,Ελευθερία,Ευαγγελάκη,28/08/1939,Πέλλα Ερμούπολη,-,Αργοστόλι 82583/2,Υ.Α. Ερμούπολη Πέλλα
723,IT7680769,19/07/2010,Παρέσσα,Paressa,Καλαϊτζοπούλου,Kalaitzopoulou,Λεωνίδας,Δόμνα,Καρκανάκη,24/04/1980,Φθιώτιδα Αθήνα,-,Ρέθυμνο 14264/7,Υ.Α. Αθήνα Φθιώτιδα
724,EY3968175,10/01/2016,Δημήτρης,Demetres,Αντωνιάδης,Antoniades,Βρασίδας,Διαμαντούλα,Εμμανουηλίδου,18/03/1980,Φλώρινα Μυτιλήνη,-,Λιβαδιά 48536/5,Υ.Α. Μυτιλήνη Φλώρινα
725,XI1334466,20/07/2018,Χρυσή,Khruse,Σταμούλη,Stamoule,Ταξιάρχης,Θεοφύλακτη,Ιωακείμ,04/03/1947,Έβρος Λευκάδα,-,Θεσσαλονίκη 99369/5,Υ.Α. Λευκάδα Έβρος
726,I7487938,08/05/2008,Ιάκωβος,Iakobos,Παπαδημητριάδης,Papademetriades,Δημήτριος,Ανατολή,Μακρή,21/11/1998,Άρτα Δράμα,-,Πύργος 49560/1,Υ.Α. Δράμα Άρτα
727,XK5671938,05/03/2008,Άννα,Anna,Μαρκαντωνάκη,Markantonake,Δήμος,Μεταξία,Κατσαντώνη,05/11/1915,Φλώρινα Ρέθυμνο,-,Δράμα 66234/6,Υ.Α. Ρέθυμνο Φλώρινα
728,IA2760357,16/08/2017,Ροδόκλεια,Rodokleia,Μπιμπίρη,Mpimpire,Ανάργυρος,Πηγή,Αποστολάκη,27/01/1934,Πρέβεζα Βόλος,-,Γρεβενά 57497/9,Υ.Α. Βόλος Πρέβεζα
729,T6594615,11/07/2007,Λεωνίδας,Leonidas,Νικολόπουλος,Nikolopoulos,Παντελής,Πασχαλιά,Καραντάνα,23/12/2008,Ημαθία Ρόδος,-,Λιβαδιά 55278/7,Υ.Α. Ρόδος Ημαθία
730,M9353522,27/04/2017,Ανανίας,Ananias,Κωνσταντάς,Konstantas,Καλλίνικος,Αμφιτρίτη,Γαλανάκη,20/02/1930,Ζάκυνθος Κέρκυρα,-,Βόλος 12516/2,Υ.Α. Κέρκυρα Ζάκυνθος
731,O6855205,28/08/2019,Φανή,Phane,Συνοδινού,Sunodinou,Κηρύκος,Δήμητρα,Σπαθάρη,23/12/1913,Φωκίδα Αθήνα,-,Κατερίνη 14676/6,Υ.Α. Αθήνα Φωκίδα
732,TY4583522,03/01/2019,Χάρις,Kharis,Μιχαηλίδης,Mikhaelides,Λουκιανός,Ναταλίνα,Βασιλοπούλου,16/06/1937,Αργολίδα Καλαμάτα,-,Αργοστόλι 43140/5,Υ.Α. Καλαμάτα Αργολίδα
733,N5581001,12/01/2016,Αικατερίνη,Aikaterine,Δουλγεράκη,Doulgerake,Μελέτιος,Βαρβάρα,Καπνιά,25/06/1977,Ζάκυνθος Κομοτηνή,-,Μεσολόγγι 52480/7,Υ.Α. Κομοτηνή Ζάκυνθος
734,MZ3464055,10/11/2013,Νίκη,Nike,Τυμβίου,Tumbiou,Υάκινθος,Βασιλεία,Πάντου,29/06/1927,Ροδόπη Καβάλα,-,Ζάκυνθος 10331/7,Υ.Α. Καβάλα Ροδόπη
735,I7488108,21/06/2009,Αρίσταρχος,Aristarkhos,Ιντζές,Intzes,Παντελεήμων,Φλωρεντία,Τσάκη,26/11/1910,Έβρος Θεσσαλονίκη,-,Άμφισσα 19792/3,Υ.Α. Θεσσαλονίκη Έβρος
736,TZ2893456,13/04/2014,Μάρκος,Markos,Κεχαγιάς,Kekhagias,Χρυσοβαλάντιος,Διαμαντούλα,Μαγούλα,21/05/1961,Χίος Άμφισσα,-,Ιωάννινα 03077/6,Υ.Α. Άμφισσα Χίος
737,P4294643,23/03/2013,Λητώ,Leto,Κλεινάκη,Kleinake,Γαβριήλ,Λυγερή,Μαγούλα,26/04/1985,Κεφαλληνία Λάρισα,-,Κοζάνη 46272/3,Υ.Α. Λάρισα Κεφαλληνία
738,TP9472341,01/02/2015,Βελισσάριος,Belissarios,Τσούμος,Tsoumos,Μαγδαληνός,Βαλέρια,Σπασέγκου,07/09/1950,Λευκάδα Κέρκυρα,-,Ρόδος 18284/3,Υ.Α. Κέρκυρα Λευκάδα
739,P2775401,17/12/2007,Λυγερή,Lugere,Σπασέγκου,Spasegkou,Ευμένιος,Συμεωνία,Πίσπα,24/12/2008,Κυκλάδες Τρίπολη,-,Θεσσαλονίκη 37163/4,Υ.Α. Τρίπολη Κυκλάδες
740,K8690099,18/02/2013,Αλκινόη,Alkinoe,Μυτάρη,Mutare,Αυγέρης,Νίκη,Πουρνάρα,01/05/2001,Κέρκυρα Αθήνα,-,Άμφισσα 01911/2,Υ.Α. Αθήνα Κέρκυρα
741,HN7119753,01/01/2015,Ηλιάνα,Eliana,Τοπαλή,Topale,Ευκλείδης,Γιασεμή,Σιόλου,05/11/1913,Αττική Σπάρτη,-,Τρίκαλα 62782/2,Υ.Α. Σπάρτη Αττική
742,TA5527012,20/06/2010,Δημοκράτης,Demokrates,Τσιατής,Tsiates,Παντελής,Αφροδίτη,Ιωακείμ,07/02/1924,Χανιά Σέρρες,-,Πρέβεζα 86076/9,Υ.Α. Σέρρες Χανιά
743,Y1541418,07/04/2007,Ιωσηφίνα,Iosephina,Τσουνάκου,Tsounakou,Αντίγονος,Θεοφανία,Καλούδη,04/05/1983,Χανιά Ρέθυμνο,-,Ηράκλειο 87331/5,Υ.Α. Ρέθυμνο Χανιά
744,Y8129252,18/04/2019,Κονδυλία,Kondulia,Καλομοίρη,Kalomoire,Φίλιππος,Ιακωβίνα,Τριανταφύλλου,13/08/1975,Ροδόπη Μυτιλήνη,-,Τρίπολη 25216/7,Υ.Α. Μυτιλήνη Ροδόπη
745,NX9462933,21/09/2007,Ζησούλα,Zesoula,Γεωργούλα,Georgoula,Βαλέριος,Βλασία,Δελή,27/10/2009,Καβάλα Πάτρα,-,Άμφισσα 71048/6,Υ.Α. Πάτρα Καβάλα
746,BK3475930,21/03/2019,Ευδοκία,Eudokia,Τσαντίδου,Tsantidou,Ερωτόκριτος,Σπυράννα,Σπανίδου,23/01/1940,Σέρρες Τρίκαλα,-,Ρέθυμνο 35980/3,Υ.Α. Τρίκαλα Σέρρες
747,KP1886401,22/10/2019,Ζαφειρία,Zapheiria,Καρακώστα,Karakosta,Δημήτρης,Ισαβέλλα,Αρσενάκη,20/06/1986,Κοζάνη Ηγουμενίτσα,-,Καστοριά 39554/9,Υ.Α. Ηγουμενίτσα Κοζάνη
748,E5192709,19/05/2019,Αμφιτρίτη,Amphitrite,Πετσιά,Petsia,Νεοκλής,Δαμασκηνή,Ορφανίδου,24/08/1992,Θεσσαλονίκη Χίος,-,Πάτρα 20013/1,Υ.Α. Χίος Θεσσαλονίκη
749,AT8294457,06/01/2020,Πανωραία,Panoraia,Κουτσούμπη,Koutsoumpe,Μικές,Ειρήνη,Θασίτου,24/05/1976,Θεσσαλονίκη Θεσσαλονίκη,-,Ναύπλιο 97972/5,Υ.Α. Θεσσαλονίκη Θεσσαλονίκη
750,T5631635,25/07/2016,Ανδριανή,Andriane,Κορομπόκη,Korompoke,Ροδόφλος,Ευθαλία,Στυλιανίδου,03/03/2006,Κυκλάδες Φλώρινα,-,Χαλκίδα 18066/6,Υ.Α. Φλώρινα Κυκλάδες
751,Y5530013,06/12/2017,Αθανάσιος,Athanasios,Τζέκος,Tzekos,Σταύρος,Κλυταιμνήστρα,Βαρελίδου,23/01/1972,Βοιωτία Καβάλα,-,Βέροια 44131/4,Υ.Α. Καβάλα Βοιωτία
752,Z2582566,21/04/2010,Λουδοβίκος,Loudobikos,Χατζηγρηγοράκης,Khatzegregorakes,Φωτεινός,Ευδοκία,Γρηγορίου,20/11/1951,Ροδόπη Βέροια,-,Φλώρινα 54075/6,Υ.Α. Βέροια Ροδόπη
753,ZE3414508,29/01/2012,Δημοσθένης,Demosthenes,Φιλιππόπουλος,Philippopoulos,Γαβριήλ,Φιλοθέη,Μητσοπούλου,06/10/2009,Βοιωτία Φλώρινα,-,Χανιά 93248/7,Υ.Α. Φλώρινα Βοιωτία
754,T8608670,16/05/2013,Παντελία,Pantelia,Μασίκα,Masika,Τηλεμαχος,Σαπφώ,Τυμβίου,30/12/1989,Φωκίδα Καρδίτσα,-,Μεσολόγγι 25838/2,Υ.Α. Καρδίτσα Φωκίδα
755,N7304564,26/10/2013,Θεόφραστος,Theophrastos,Γκατζογιάννης,Gkatzogiannes,Πολυζώης,Θέμις,Καραμανλή,15/03/1937,Χίος Λαμία,-,Πρέβεζα 40880/1,Υ.Α. Λαμία Χίος
756,KO7041586,11/12/2018,Αμβρόσιος,Ambrosios,Κανελλόπουλος,Kanellopoulos,Χρήστος,Βικτωρία,Τσούρα,26/02/1985,Λευκάδα Λαμία,-,Σέρρες 18958/6,Υ.Α. Λαμία Λευκάδα
757,A6472766,27/08/2018,Θαλής,Thales,Ζενεμπίσης,Zenempises,Δημόκριτος,Μαρωτέσα,Σπηλιάδου,12/08/2000,Βοιωτία Ζάκυνθος,-,Καστοριά 31921/9,Υ.Α. Ζάκυνθος Βοιωτία
758,M4543292,14/01/2007,Έκτορας,Ektoras,Τσιατής,Tsiates,Ηλίας,Αστέρω,Τσουνάκου,02/02/1920,Λευκάδα Κόρινθος,-,Ηράκλειο 24750/2,Υ.Α. Κόρινθος Λευκάδα
759,M8961006,04/06/2010,Γεράσιμος,Gerasimos,Γεωργαλάς,Georgalas,Παρασκευάς,Ζαμπία,Δουκίδου,07/09/1951,Ρέθυμνο Κομοτηνή,-,Καστοριά 11615/3,Υ.Α. Κομοτηνή Ρέθυμνο
760,IT7898956,19/01/2019,Πίνδαρος,Pindaros,Δέλιος,Delios,Φοίβος,Ζηναϊς,Κοτρώτσου,29/02/1976,Άρτα Ηράκλειο,-,Φλώρινα 51862/5,Υ.Α. Ηράκλειο Άρτα
761,ZZ7285168,18/02/2013,Κωνσταντίνα,Konstantina,Ζαφείρη,Zapheire,Λυκούργος,Χριστίνα,Βαμβουκάκη,10/07/1930,Δράμα Καβάλα,-,Δράμα 24618/6,Υ.Α. Καβάλα Δράμα
762,I9384600,03/07/2020,Γλαύκη,Glauke,Τσουνάκου,Tsounakou,Σώζων,Βικτόρια,Καράμπη,31/08/1918,Δράμα Τρίπολη,-,Έδεσσα 06439/9,Υ.Α. Τρίπολη Δράμα
763,NM8985227,24/06/2012,Προκόπιος,Prokopios,Δουκάς,Doukas,Αυξέντιος,Χρυσόστομη,Φωτακοπούλου,07/09/1988,Χίος Μεσολόγγι,-,Αγ. Νικόλαος 20675/8,Υ.Α. Μεσολόγγι Χίος
764,H0226120,09/05/2019,Αστέρω,Astero,Καψή,Kapse,Σώζων,Ήλια,Ζωντανού,21/12/1959,Θεσπρωτία Χανιά,-,Ναύπλιο 90727/3,Υ.Α. Χανιά Θεσπρωτία
765,AM0057625,12/08/2019,Νικητία,Niketia,Ταυλαρίδου,Taularidou,Μαρίνος,Λεώνη,Ρέππα,01/12/1953,Πέλλα Βόλος,-,Κόρινθος 74507/8,Υ.Α. Βόλος Πέλλα
766,HN0848644,26/02/2008,Σταύρος,Stauros,Κουλίδης,Koulides,Τηλεμαχος,Αριστέα,Τσακαλάκου,01/01/1973,Αιτωλία & Ακαρνανία Καλαμάτα,-,Ρέθυμνο 81273/9,Υ.Α. Καλαμάτα Αιτωλία & Ακαρνανία
767,P5812546,03/06/2010,Θεόκλητος,Theokletos,Καρούντζος,Karountzos,Σολομών,Μαργιέττα,Στούμπου,04/07/1995,Τρίκαλα Πύργος,-,Πύργος 62064/1,Υ.Α. Πύργος Τρίκαλα
768,Z5029446,02/03/2007,Κλεάνθης,Kleanthes,Σταυριανός,Staurianos,Αγάπιος,Ναταλία,Κατσούλα,14/07/1971,Ηράκλειο Λαμία,-,Βόλος 39139/7,Υ.Α. Λαμία Ηράκλειο
769,HN4132508,20/11/2012,Νεκτάριος,Nektarios,Δάρας,Daras,Μαρτίνος,Κασσιανή,Τζιόβα,31/05/1946,Χανιά Καλαμάτα,-,Καλαμάτα 03057/7,Υ.Α. Καλαμάτα Χανιά
770,OT4262384,06/09/2014,Αλκμήνη,Alkmene,Κυριαννάκη,Kuriannake,Αδαμάντιος,Σεβαστιανή,Μηλιάδου,17/03/1978,Βοιωτία Καρπενήσι,-,Άμφισσα 64165/7,Υ.Α. Καρπενήσι Βοιωτία
771,A5866135,29/03/2010,Φοίβη,Phoibe,Χατζημιχαήλ,Khatzemikhael,Νικήτας,Διονυσία,Πίσπα,06/10/1929,Λασσίθι Λευκάδα,-,Πολύγυρος 32385/5,Υ.Α. Λευκάδα Λασσίθι
772,YO5060092,04/08/2019,Περιστέρα,Peristera,Κατσανίκου,Katsanikou,Βενιαμίν,Ιοκάστη,Κουλουμπού,25/03/1990,Εύβοια Κατερίνη,-,Λαμία 27485/6,Υ.Α. Κατερίνη Εύβοια
773,Z8080812,20/06/2006,Φραντζέσκα,Phrantzeska,Μαρτιάδου,Martiadou,Μαύρος,Ρόζα,Ζεγλίνα,27/07/1972,Χανιά Μυτιλήνη,-,Τρίπολη 63545/6,Υ.Α. Μυτιλήνη Χανιά
774,BY5794050,11/11/2015,Κομνηνή,Komnene,Σελινοπούλου,Selinopoulou,Απόστολος,Ασημούλα,Τομπουλίδου,01/02/1937,Πέλλα Πύργος,-,Βόλος 70264/2,Υ.Α. Πύργος Πέλλα
775,Z2318625,22/07/2010,Κρυσταλλένια,Krustallenia,Καλέμη,Kaleme,Χρύσανθος,Παταπία,Τσιπλίκωφ,11/05/1976,Πρέβεζα Χανιά,-,Τρίκαλα 04423/3,Υ.Α. Χανιά Πρέβεζα
776,KY5035592,22/08/2009,Βαλεντίνα,Balentina,Ανεζάκη,Anezake,Αλέξανδρος,Δόμνα,Ρόκκα,21/07/1911,Φθιώτιδα Έδεσσα,-,Σέρρες 40919/6,Υ.Α. Έδεσσα Φθιώτιδα
777,H1882264,02/12/2011,Μακρίνα,Makrina,Μπρούζου,Mprouzou,Θεοτόκης,Λαμπρινή,Δημητριάδου,01/08/1934,Ηράκλειο Κόρινθος,-,Ηγουμενίτσα 67249/2,Υ.Α. Κόρινθος Ηράκλειο
