,Surname,Given Name,Gender,Height,Nationality,Date of Birth,Identity No.,Document No.,Date of Expire,Parents,Tax No.,Social Security No.,Health No.
494,Lima,Petra,F,1.66,PRT,13 11 1956,7454301,07454301 6 ZZ3,29 05 2031,Guilherme Matias | Flor Baptista,3771897,371379900418799,285799192613
495,Mota,Amélia,F,1.85,PNG,11 07 1995,77588035,77588035 6 ZZ0,21 01 2022,Rui Lopes | Sofia Baptista,7704358,774274039675322,221313885164
496,Soares,António,M,1.67,PRT,04 06 1970,11499242,11499242 2 ZZ9,24 08 2027,Duarte Domingues | Leonor Magalhães,3875078,250492471462842,181353623887
497,Sá,Duarte,M,1.67,PRT,06 07 1939,59778675,59778675 0 ZZ5,18 10 2023,Rodrigo Sousa | Miriam Correia,5282771,922168201596545,745336921488
498,Garcia,Sérgio,M,1.92,PRT,12 06 1915,4912723,04912723 4 ZZ7,19 04 2025,Alexandre Amaral | Larissa Fonseca,5608290,383398777924382,958878040643
499,Coelho,Gaspar,M,2.02,PRT,03 06 1996,71203440,71203440 3 ZZ9,13 10 2023,Marcos Andrade | Erica Campos,8128662,66547417353933,695685527744
500,Almeida,Clara,F,1.69,PRT,08 08 2001,57215517,57215517 3 ZZ3,22 08 2026,Eduardo Ferreira | Ema Coelho,2047690,298846863637033,202230426670
501,Simões,Denis,M,1.67,PRT,28 01 1945,53749662,53749662 9 ZZ9,22 08 2022,Ricardo Nogueira | Renata Azevedo,2319831,59871643140898,390871585455
502,Vicente,Lorena,F,1.92,PRT,04 05 2001,5268078,05268078 1 ZZ4,11 03 2025,Cristiano Sousa | Caetana Silva,6980986,376001525312016,416021859201
503,Faria,Ricardo,M,1.82,PRT,22 01 2001,29618306,29618306 9 ZZ3,08 12 2024,Joel Torres | Mariana Paiva,6537163,296923548987415,692755370996
504,Guerreiro,Miguel,M,1.73,LCA,04 02 1958,2047615,02047615 6 ZZ8,28 07 2027,Gaspar Ferreira | Daniela Marques,9210111,710211869259867,714164052272
505,Castro,Nádia,F,1.66,PRT,13 05 2001,35568494,35568494 2 ZZ9,15 05 2022,Mateus Nogueira | Bruna Barbosa,7108244,941462212061797,115926623089
506,Vaz,Teresa,F,1.74,IRN,20 02 1961,67219189,67219189 1 ZZ6,20 12 2027,José Jesus | Amélia Barros,181228,618149893452103,431578938584
507,Leal,Xavier,M,1.81,PRT,12 07 1961,13593757,13593757 8 ZZ4,29 09 2024,Vasco Branco | Kyara Nogueira,3768228,730318838057362,428470522732
508,Esteves,Benedita,F,1.76,PRT,18 10 1975,1294958,01294958 2 ZZ5,20 02 2031,Samuel Oliveira | Diana Fernandes,6329964,863374726884593,299264107327
509,Anjos,Sebastião,M,1.7,PRT,22 03 1934,2186797,02186797 3 ZZ8,02 02 2022,Edgar Pinheiro | Eva Simões,38627,48771265611896,824422345941
510,Baptista,Paulo,M,1.96,PRT,30 10 1997,15268657,15268657 3 ZZ3,26 05 2024,Luís Ferreira | Bruna Nunes,6495233,611315191543839,709786374788
511,Machado,Violeta,F,1.83,PRT,20 10 1971,2851822,02851822 6 ZZ3,16 06 2027,Henrique Melo | Mélanie Macedo,6056139,15183450461407,142826861803
512,Alves,Tiago,M,1.43,PRT,04 02 1982,2576944,02576944 6 ZZ6,06 03 2031,Tomé Fernandes | Andreia Amorim,5873062,791267422226666,953536159972
513,Coelho,Íris,F,1.53,PRT,19 04 1988,81444042,81444042 0 ZZ9,03 11 2027,Simão Amorim | Marta Brito,2546474,439332550839792,854674124093
514,Azevedo,Rui,M,1.61,PRT,19 11 1987,93923960,93923960 5 ZZ3,25 07 2024,Tomás Andrade | Salomé Antunes,1505369,457497509412558,874174992194
515,Gaspar,Vítor,M,1.56,COD,09 12 1950,69001628,69001628 9 ZZ8,18 11 2029,Mateus Torres | Alice Pires,2694843,243741488870767,228933338626
516,Mota,Daniel,M,1.94,PRT,13 09 2006,31641182,31641182 9 ZZ6,24 07 2026,Denis Reis | Victória Teixeira,9057294,19017842077489,673242206962
517,Barros,Ariana,F,1.88,PRT,16 02 1979,57964273,57964273 5 ZZ8,07 12 2022,Guilherme Torres | Rita Paiva,5270236,760969061945958,25526264346
518,Amorim,Luís,M,1.87,PRT,09 09 1958,35271510,35271510 6 ZZ5,15 03 2029,Manuel Barros | Constança Mendes,4773312,305844796893987,462414413008
519,Martins,Ariana,F,1.7,PRT,02 04 1928,6376149,06376149 2 ZZ2,16 03 2030,Jaime Vicente | Juliana Cardoso,7923955,643093593005258,419955466633
520,Neves,Mauro,M,1.6,PRT,21 10 1987,14414375,14414375 4 ZZ6,27 12 2023,Pedro Monteiro | Diana Ribeiro,6250715,520090094176671,871853992491
521,Tavares,Bryan,M,1.61,PRT,10 03 1989,68090653,68090653 5 ZZ8,24 08 2023,Carlos Esteves | Teresa Nascimento,7151495,396867174334866,838311605586
522,Ferreira,Paulo,M,1.72,PRT,17 08 1951,94110348,94110348 8 ZZ3,22 04 2028,Martim Pinheiro | Flor Jesus,366461,403750227522487,887452167769
523,Simões,Yasmin,F,1.57,QAT,12 01 2001,65702181,65702181 7 ZZ6,31 10 2021,Diego Machado | Raquel Pinho,8400268,310327275998243,815425054027
524,Matos,Hugo,M,1.79,PRT,02 05 1914,66851341,66851341 7 ZZ1,15 11 2029,Rafael Freitas | Mia Fernandes,3333174,134015482196884,773562540854
525,Carneiro,Salvador,M,1.86,PRT,08 10 1996,98857267,98857267 6 ZZ7,12 03 2029,Mário Sá | Alice Mendes,2006218,666922610734341,250822253906
526,Matos,Pedro,M,1.8,PRT,23 06 1982,86695863,86695863 4 ZZ3,23 12 2026,Jaime Lourenço | Gabriela Barbosa,8795152,720201209656072,265200808279
527,Santos,Raquel,F,1.73,PRT,12 06 1975,96607634,96607634 2 ZZ1,17 10 2029,Kévim Azevedo | Lorena Leite,1524927,348993245627222,42048098881
528,Vicente,Érica,F,1.77,PRT,19 04 1933,5530329,05530329 3 ZZ2,02 01 2028,João Barbosa | Camila Paiva,2613203,93680525546890,86667513588
529,Moreira,Carlota,F,1.85,GNB,07 09 1948,64480079,64480079 5 ZZ0,09 11 2026,Bernardo Rocha | Nádia Soares,9495865,499565705989247,427985562983
530,Ribeiro,Miriam,F,1.9,PRT,20 08 1926,50939936,50939936 0 ZZ5,04 12 2025,Cristiano Pereira | Alice Morais,3254126,527890348818291,787715169803
531,Mendes,Emanuel,M,1.79,PRT,09 08 1991,93746652,93746652 8 ZZ9,06 06 2029,João Nascimento | Jéssica Ribeiro,7152005,163740467969327,844937596232
532,Abreu,Frederico,M,1.76,PRT,24 12 2001,92706850,92706850 4 ZZ3,07 08 2025,Luca Nunes | Matilde Figueiredo,6424482,855309606966170,928350401779
533,Pereira,Kévim,M,1.76,NGA,20 07 1941,78598211,78598211 2 ZZ4,12 08 2026,José Borges | Larissa Pires,3219854,272986403403554,476158509165
534,Antunes,Bernardo,M,1.95,PRT,18 08 1972,94228327,94228327 6 ZZ7,21 07 2022,Samuel Gonçalves | Débora Matias,6110591,563335283207664,893484759892
535,Pacheco,Rafael,M,1.39,PRT,01 03 1974,77922691,77922691 9 ZZ3,30 07 2031,William Maia | Érica Fonseca,3198316,105267105699724,609249877092
536,Teixeira,Vitória,F,1.92,EST,29 03 1936,30171510,30171510 5 ZZ1,18 08 2026,Wilson Pinho | Bruna Nunes,6318972,322079846636688,875261108875
537,Cunha,Gil,M,1.89,PRT,21 10 1946,146235,00146235 8 ZZ7,05 11 2024,Vicente Figueiredo | Marta Pinheiro,6947577,129664818554500,436364656088
538,Carvalho,Rui,M,1.51,PRT,03 10 1949,77840739,77840739 0 ZZ8,26 06 2022,Santiago Lourenço | Marta Valente,5448377,641556335242205,956263835831
539,Melo,Pedro,M,1.91,PRT,04 02 1977,88811838,88811838 1 ZZ1,28 03 2026,Gustavo Carneiro | Francisca Alves,8316047,825144013212245,116699883116
540,Silva,Noah,M,1.58,PRT,20 06 1954,83209180,83209180 7 ZZ2,15 06 2031,Francisco Mota | Melissa Neto,1594152,232027230486119,372043075687
541,Pires,Mariana,F,1.73,MLI,14 09 1971,88498663,88498663 7 ZZ2,23 07 2031,Sérgio Carneiro | Larissa Vieira,5504259,993842854546090,725454807185
542,Lopes,Daniel,M,1.81,ZMB,04 07 1945,88801576,88801576 1 ZZ9,10 05 2031,Rafael Mota | Alice Vieira,4837430,972496432775741,285305357812
543,Borges,Mariana,F,1.97,PRT,27 02 2004,97828716,97828716 0 ZZ5,11 09 2029,Gonçalo Andrade | Francisca Fernandes,6349482,416967372095936,473914049933
544,Miranda,Xavier,M,1.77,PRT,09 11 2004,28567825,28567825 6 ZZ1,04 12 2029,Valentim Freitas | Kelly Carvalho,2438942,803096051396949,470747317271
545,Araújo,Renata,F,1.74,PAN,08 03 1957,18928305,18928305 6 ZZ5,02 09 2026,Ismael Vieira | Rita Campos,6536470,805141983227517,442022705105
546,Nunes,Violeta,F,1.61,PRT,03 11 1959,27810622,27810622 3 ZZ2,27 08 2027,Noa Valente | Madalena Mota,5011634,314551653007015,113330075581
547,Sousa,Lucas,M,1.7,PRT,04 07 1985,64778625,64778625 9 ZZ1,20 09 2021,Gaspar Machado | Kyara Pinto,8438490,347649279121328,407297117551
548,Fernandes,Alícia,F,1.76,PRT,11 11 1944,80652513,80652513 8 ZZ6,06 10 2024,Fernando Lourenço | Victória Sá,1929594,869943434332735,579230024734
549,Tavares,Pilar,F,1.97,PRT,28 08 1946,56791301,56791301 9 ZZ3,02 06 2028,Dinis Gonçalves | Helena Barbosa,3622979,830829468853320,625091851059
550,Amaral,Matilde,F,1.8,PRT,13 01 1915,49863918,49863918 2 ZZ5,29 07 2030,Renato Garcia | Letícia Moura,3788398,606876704610272,548643507606
551,Morais,Lorena,F,1.6,PRT,14 05 1997,34635239,34635239 4 ZZ4,13 10 2021,Noah Abreu | Raquel Castro,8022143,133992125372887,278682553433
552,Lopes,Amélia,F,1.77,PRT,29 11 1943,25719579,25719579 7 ZZ8,07 01 2031,Lisandro Pinto | Marta Batista,2539741,683037947206896,86834164612
553,Nunes,Marcos,M,1.63,PRT,21 11 1949,97324209,97324209 3 ZZ9,06 10 2027,Nelson Nogueira | Amélia Amaral,4472624,301266520958748,302709014416
554,Nascimento,Guilherme,M,1.63,PRT,22 04 1926,47645238,47645238 3 ZZ9,26 11 2027,Kevin Neves | Amélia Oliveira,4758553,802125679956531,397265013208
555,Ramos,Leonor,F,1.86,PRT,24 04 1989,89563507,89563507 8 ZZ7,07 04 2028,Alexandre Machado | Mafalda Neves,7852075,847142889432705,508887651665
556,Carvalho,Letícia,F,1.53,PRT,18 01 1954,31724410,31724410 2 ZZ2,29 11 2029,Kévim Antunes | Miriam Branco,4045517,749192637947664,472924000511
557,Lima,Eduarda,F,1.79,PRT,21 11 2005,47341301,47341301 0 ZZ7,07 06 2031,Martim Fonseca | Vitória Azevedo,1023514,398038998482081,639637696575
558,Cunha,Dinis,M,1.58,PRT,10 10 1987,51191611,51191611 1 ZZ6,27 05 2029,Noah Nunes | Beatriz Cunha,3295574,698818475162742,466735303943
559,Loureiro,Júlia,F,2.01,PRT,15 05 1940,79187581,79187581 0 ZZ1,23 06 2026,Bruno Henriques | Iara Cunha,8505919,815579979366674,695764455792
560,Gomes,Daniela,F,1.5,GHA,03 12 1953,51084844,51084844 1 ZZ4,17 01 2026,Francisco Sá | Beatriz Castro,1335971,26576557382476,90303265959
561,Carneiro,Duarte,M,1.86,PRT,11 12 2006,13619724,13619724 0 ZZ8,21 04 2029,Sandro Sá | Margarida Andrade,868106,2373577832718,68383475086
562,Esteves,Samuel,M,1.55,PRT,03 11 1935,33973283,33973283 8 ZZ1,24 04 2026,Rafael Cardoso | Yasmin Cruz,5310029,449648479099088,416297232726
563,Gonçalves,Alexandre,M,1.54,PRT,20 02 1989,51555603,51555603 3 ZZ0,25 12 2022,Luca Cruz | Nair Pinto,2758433,735525696590031,191263380076
564,Carvalho,Kévim,M,1.35,PRT,07 11 1914,23599007,23599007 6 ZZ7,23 05 2022,Diogo Gomes | Juliana Carvalho,6017366,785561142190050,128181625851
565,Pinho,Daniela,F,1.7,PRT,28 11 1965,98433127,98433127 9 ZZ4,13 04 2025,Vicente Magalhães | Núria Ramos,5956259,413522772556710,719703483643
566,Ferreira,Luciana,F,1.53,PRT,14 01 2007,18075311,18075311 1 ZZ9,06 11 2027,Daniel Nascimento | Núria Ramos,987596,263724182186841,55371099092
567,Vaz,Joana,F,1.62,PRT,18 09 2004,27255024,27255024 2 ZZ4,31 05 2028,Cristiano Torres | Larissa Matos,7984245,566763614081753,479412816950
568,Ramos,Rafaela,F,1.85,PRT,08 10 1917,64695332,64695332 3 ZZ2,07 01 2031,Eduardo Mota | Soraia Teixeira,7332101,891585987737209,229733361283
569,Figueiredo,Isaac,M,1.69,PRT,12 03 1936,4948414,04948414 3 ZZ3,02 03 2026,Sérgio Vicente | Rita Batista,4221955,4045656241922,602677017072
570,Oliveira,Paulo,M,1.54,PRT,06 10 1932,23750779,23750779 8 ZZ9,05 01 2024,Lucas Pacheco | Melissa Henriques,7458783,523491537253282,517175438808
571,Brito,Kevin,M,1.73,PRT,19 11 2004,10250818,10250818 0 ZZ8,19 04 2028,Tomás Pinho | Bárbara Gonçalves,9460721,614847909872256,643100154999
572,Barros,Mélanie,F,1.67,PRT,03 03 1950,35940615,35940615 9 ZZ1,16 07 2026,Salvador Fonseca | Benedita Marques,3550989,343935452919730,669922558506
573,Matias,David,M,1.72,PRT,08 11 2007,47269744,47269744 1 ZZ5,08 11 2029,Henrique Carneiro | Lúcia Baptista,8535687,985153467249218,641115904520
574,Domingues,Marco,M,1.71,PRT,10 01 1992,55705550,55705550 9 ZZ8,19 04 2026,Rodrigo Nascimento | Kelly Silva,4560842,839090244825560,840798698617
575,Silva,Marcos,M,1.76,PRT,22 08 1964,35346360,35346360 0 ZZ7,26 12 2025,Daniel Oliveira | Bianca Moreira,1820430,838074988154749,515167897900
576,Baptista,Margarida,F,1.89,PRT,22 11 1998,24188942,24188942 6 ZZ5,15 10 2023,Jorge Neves | Larissa Antunes,4874054,934947094840088,215876811709
577,Henriques,Ema,F,1.74,PRT,01 01 1993,59316803,59316803 6 ZZ9,28 10 2026,Vicente Matias | Clara Coelho,190444,158573254295219,870712474222
578,Carneiro,Alexandre,M,1.52,PRT,03 03 1975,84453648,84453648 4 ZZ2,20 02 2024,Nelson Nascimento | Ângela Paiva,4545882,800300489466980,670507422827
579,Oliveira,Inês,F,1.83,PRT,13 06 1936,17220789,17220789 7 ZZ4,03 04 2023,Edgar Brito | Iara Santos,6385772,405321418530204,269410087749
580,Almeida,Fabiana,F,1.72,PRT,07 08 2006,24606653,24606653 8 ZZ1,17 03 2028,Leandro Fonseca | Raquel Amaral,3304429,591262618819660,312553395629
581,Pinheiro,Catarina,F,1.68,PRT,05 09 1949,13124642,13124642 4 ZZ1,02 09 2027,Nuno Baptista | Joana Rodrigues,3795550,214001503158531,630540704711
582,Reis,Nelson,M,1.78,PRT,04 08 1925,58516756,58516756 8 ZZ9,15 11 2022,Martim Amaral | Pilar Loureiro,9773781,779609739413381,274230409458
583,Miranda,Tomás,M,1.79,PRT,26 12 1995,49635182,49635182 2 ZZ5,11 02 2028,João Vieira | Núria Carvalho,7541153,684499332911472,582897288383
584,Castro,Mário,M,1.77,PRT,22 09 1945,36432255,36432255 3 ZZ2,24 07 2022,Pedro Andrade | Luísa Moreira,2870157,748193162285042,876427362541
585,Vieira,Nádia,F,1.93,PRT,24 09 1999,11930738,11930738 3 ZZ3,10 01 2031,Enzo Cruz | Sofia Castro,9378762,508671061752542,986137500821
586,Simões,Tomé,M,1.6,PRT,10 09 1923,73511821,73511821 9 ZZ5,04 08 2022,Francisco Marques | Soraia Vaz,8161359,855632412272440,285535216849
587,Rodrigues,Mauro,M,1.82,PRT,12 06 1917,82345200,82345200 2 ZZ1,04 04 2027,Álvaro Abreu | Flor Vieira,3166028,346260577663562,501519010226
588,Melo,Pilar,F,1.85,PRT,26 11 1951,56657412,56657412 1 ZZ5,17 04 2026,Afonso Freitas | Catarina Reis,5890437,660417719386274,666793194958
589,Mendes,Valentim,M,1.95,VUT,03 04 1989,13090972,13090972 4 ZZ8,18 05 2027,Leonardo Sá | Caetana Barros,7881164,640339222581935,195492889560
590,Pacheco,Hugo,M,1.57,PRT,18 04 1968,35400880,35400880 0 ZZ0,23 02 2030,Nelson Ferreira | Filipa Esteves,2791725,111437133258263,543373305606
591,Matias,Gonçalo,M,2.14,PRT,01 10 1915,83940264,83940264 2 ZZ4,10 11 2022,Gaspar Esteves | Melissa Costa,8153283,476657706706795,660432462300
592,Carneiro,Diogo,M,1.71,PRT,06 10 1925,25126061,25126061 7 ZZ2,17 01 2026,Afonso Martins | Diana Lima,3873676,910953647137692,910667462129
593,Ribeiro,Tomé,M,1.79,PRT,20 12 1943,66921625,66921625 8 ZZ3,03 05 2031,Frederico Carneiro | Catarina Magalhães,7040386,354270794018964,988538725519
594,Andrade,Érica,F,1.61,PRT,29 08 1943,15164192,15164192 4 ZZ7,24 02 2030,Joel Carvalho | Erica Oliveira,6588176,629136395947296,738499985196
595,Gonçalves,Lara,F,1.71,PRT,21 01 1966,69969187,69969187 2 ZZ7,30 12 2025,Tomé Brito | Helena Faria,3706461,201413272530093,134080798982
596,Nunes,Lisandro,M,1.56,BEN,04 07 1926,47116705,47116705 2 ZZ6,02 03 2022,Henrique Gaspar | Carolina Jesus,9683950,151405282623101,375167434023
597,Ribeiro,Gustavo,M,1.51,PRT,28 01 1970,87119621,87119621 4 ZZ6,21 05 2031,Jorge Assunção | Salomé Loureiro,117739,442648159833212,511204358469
598,Baptista,Frederico,M,1.91,NER,02 04 2001,22485509,22485509 1 ZZ4,10 07 2031,William Gonçalves | Fabiana Barbosa,8356046,27719248889,626676036535
599,Monteiro,Sebastião,M,1.65,PRT,18 04 1995,20279254,20279254 2 ZZ2,10 12 2028,David Leite | Laura Azevedo,6969580,376321457825784,449030932948
600,Correia,Vera,F,1.45,PRT,18 12 1970,94664473,94664473 1 ZZ5,12 05 2031,Dinis Silva | Yasmin Moreira,5364917,948849019627455,241330608031
601,Freitas,Soraia,F,1.76,PRT,15 06 1954,86619293,86619293 1 ZZ2,12 12 2021,Filipe Sá | Emília Araújo,4841801,305308838929445,516743869862
602,Matos,Luís,M,1.4,PRT,23 12 1971,79158787,79158787 2 ZZ6,03 11 2030,Salvador Sá | Francisca Andrade,4736000,644942033497127,103337750905
603,Alves,Flor,F,1.84,PRT,04 06 1977,35845873,35845873 4 ZZ2,31 12 2022,Noa Freitas | Diana Carneiro,4611540,313520880127849,25779504491
604,Barbosa,Francisca,F,1.92,PRT,27 04 2007,68639351,68639351 3 ZZ9,22 08 2030,Afonso Amorim | Kyara Gomes,8791440,478335911841786,251276063645
605,Sousa,Valentina,F,1.91,PRT,04 12 1919,70259339,70259339 3 ZZ9,10 12 2027,Manuel Pires | Pilar Miranda,1960334,459267770669143,895001239218
606,Pinheiro,Carlota,F,1.67,PRT,10 11 1912,24995689,24995689 2 ZZ4,24 09 2023,Dinis Jesus | Lorena Matias,1392104,704957675854747,489998309301
607,Miranda,Eva,F,1.75,PRT,04 01 1938,48552012,48552012 6 ZZ1,04 09 2023,David Cruz | Matilde Gomes,4138658,716113755836308,466872150842
608,Borges,Jéssica,F,1.48,PRT,29 10 2009,696635,00696635 1 ZZ0,24 08 2028,Denis Marques | Mélanie Anjos,8190440,870320378891050,449410812355
609,Andrade,Emanuel,M,1.56,PRT,15 03 1929,27930805,27930805 4 ZZ7,06 08 2027,Álvaro Miranda | Flor Antunes,5723023,606084822849294,841358038694
610,Pinho,Samuel,M,1.59,PRT,09 12 1992,27503217,27503217 1 ZZ5,27 07 2022,Ivo Martins | Vera Macedo,6485389,321268585585820,13590102079
611,Costa,Dinis,M,1.97,PRT,22 10 1938,96991668,96991668 5 ZZ7,25 01 2022,Matias Andrade | Mia Moreira,5275878,857675145207962,232602840345
612,Matos,Matias,M,1.74,PRT,15 08 1966,38792413,38792413 9 ZZ6,13 10 2027,Leonardo Baptista | Larissa Baptista,67663,521970558515668,462460286069
613,Maia,Ismael,M,1.66,PRT,14 04 1998,26796094,26796094 6 ZZ6,01 12 2021,Leonardo Abreu | Emma Barros,4448456,154551283824275,701447170628
614,Nogueira,António,M,1.49,PRT,01 04 1912,37501519,37501519 8 ZZ1,15 02 2026,Luca Fonseca | Matilde Leite,9931178,196723293225191,817859490884
615,Leal,Santiago,M,1.96,PRT,29 11 1925,86971969,86971969 3 ZZ5,29 08 2025,Afonso Lourenço | Diana Henriques,1381596,979643307035271,627284231341
616,Baptista,Cláudio,M,2.18,PRT,17 07 1958,54199970,54199970 3 ZZ9,22 10 2025,Bryan Silva | Violeta Martins,585100,817656166258747,766418144600
617,Neto,Tomás,M,1.62,PRT,26 07 1970,22237412,22237412 3 ZZ3,21 01 2026,Gil Costa | Ângela Correia,3250303,681289863925217,814384888492
618,Baptista,Nair,F,1.61,PRT,08 02 1922,69178584,69178584 2 ZZ7,16 07 2029,Isaac Moreira | Marta Castro,9049426,23894939251201,379511684188
619,Leite,Anita,F,1.75,PRT,15 03 1935,46753171,46753171 1 ZZ3,15 04 2023,Matias Lima | Pilar Garcia,888232,608375989232793,388603880521
620,Ribeiro,Lia,F,1.74,PRT,23 09 1920,6918979,06918979 9 ZZ5,23 11 2027,Artur Andrade | Gabriela Loureiro,4335646,321435538911283,166916674388
621,Amorim,Tatiana,F,1.89,PRT,06 06 1998,92895494,92895494 6 ZZ5,02 05 2024,Salvador Andrade | Adriana Coelho,4412396,695333827371164,860375444699
622,Rocha,Ângelo,M,1.39,PRT,11 01 1928,92387412,92387412 1 ZZ8,30 05 2030,Eduardo Lopes | Beatriz Baptista,6067857,992729352970890,215388554273
623,Mendes,Isabela,F,1.58,PRT,14 08 2010,80348267,80348267 8 ZZ3,21 08 2023,Emanuel Faria | Salomé Moura,4700891,229479692309535,637175273564
624,Coelho,Érica,F,1.91,NRU,19 04 1984,62081150,62081150 4 ZZ4,27 10 2022,Rafael Nascimento | Soraia Paiva,3386496,436812854140612,251192289434
625,Anjos,Sofia,F,1.8,PRT,06 05 2005,98393020,98393020 8 ZZ5,06 11 2025,Rodrigo Pires | Erica Anjos,7737869,502744182314440,979839886552
626,Esteves,Ema,F,1.88,PRT,16 11 1924,53986436,53986436 9 ZZ0,12 04 2026,Kévim Pinho | Lara Soares,3808310,200263165199943,83980599971
627,Vaz,Ariana,F,1.76,KNA,14 02 1922,8731082,08731082 1 ZZ8,27 10 2028,Bryan Vieira | Ariana Almeida,9619511,560608884121900,89179989445
628,Vieira,Ricardo,M,1.89,PRT,09 04 1969,6365447,06365447 3 ZZ6,26 06 2028,Ricardo Melo | Erika Castro,4309669,640852764631778,245640713934
629,Amaral,Emanuel,M,1.92,PRT,24 12 1941,96066983,96066983 5 ZZ0,24 01 2025,Denis Ramos | Carlota Alves,6861646,979253170470006,318093347593
630,Rodrigues,Ariana,F,1.83,PRT,08 11 1919,47259206,47259206 3 ZZ3,14 02 2025,Enzo Pereira | Carolina Teixeira,7234338,460753975970541,485426123976
631,Valente,Erica,F,1.57,PRT,20 07 1926,1691624,01691624 0 ZZ4,12 03 2025,Francisco Moreira | Filipa Moreira,3393630,790842618444178,336881726562
632,Rodrigues,Petra,F,1.67,PRT,11 02 2000,71248182,71248182 4 ZZ2,29 01 2024,António Pinho | Débora Borges,723428,539178404369398,184990314166
633,Oliveira,Tiago,M,1.79,PRT,14 04 1963,99443129,99443129 0 ZZ3,06 04 2025,Vasco Azevedo | Íris Garcia,5517896,35817019799433,30906483554
634,Reis,Noah,M,1.75,PRT,28 07 1986,14017261,14017261 3 ZZ5,18 12 2024,Mário Mendes | Madalena Cardoso,2077516,241855718407227,386315848075
635,Antunes,Vítor,M,1.6,STP,22 10 1934,27827862,27827862 5 ZZ2,01 01 2023,Ricardo Castro | Yasmin Carneiro,3404341,929420799034292,361977175359
636,Melo,Camila,F,1.76,PRT,07 10 1981,93559064,93559064 9 ZZ3,16 06 2031,Lourenço Castro | Emma Neto,8185373,714682381547139,933958406466
637,Oliveira,Pilar,F,1.56,PRT,06 12 1967,29358343,29358343 2 ZZ9,19 04 2022,Jorge Pinho | Júlia Nascimento,2777528,7966934903488,980929057811
638,Mendes,Salvador,M,1.82,PRT,17 08 1935,92581209,92581209 9 ZZ9,07 10 2021,Vítor Nunes | Yasmin Tavares,8604118,511961281886057,71248912103
639,Almeida,Victória,F,1.54,PRT,27 06 1996,23739936,23739936 0 ZZ0,02 10 2021,Luca Gaspar | Alícia Garcia,5473763,908093033493080,927600095429
640,Miranda,Soraia,F,1.59,UGA,12 02 1976,34890671,34890671 7 ZZ3,09 09 2030,Wilson Paiva | Margarida Valente,7518247,146924509572602,676768371849
641,Maia,Rafael,M,1.69,PRT,30 07 2000,80814138,80814138 5 ZZ3,07 10 2025,Afonso Pinto | Letícia Macedo,4537475,561418854070689,776174060262
642,Barbosa,Helena,F,1.87,PRT,15 07 1964,43854821,43854821 3 ZZ2,18 01 2026,Matias Reis | Débora Figueiredo,8348214,592098215677321,672392029308
643,Pinho,Patrícia,F,1.74,PRT,28 04 1958,56382117,56382117 2 ZZ6,07 06 2028,Pedro Silva | Eduarda Pinheiro,9242283,309993350044353,64408607281
644,Gaspar,Paulo,M,1.81,PRT,02 11 1970,39778335,39778335 0 ZZ3,11 03 2022,Gabriel Tavares | Marta Moura,4329952,355197889627805,29374225353
645,Nunes,Sebastião,M,1.93,BRB,21 11 1927,53545850,53545850 8 ZZ3,14 07 2024,Bruno Mendes | Larissa Cunha,9737031,846518331258377,301199997678
646,Pinho,Nair,F,1.59,PRT,03 07 1976,33974989,33974989 9 ZZ8,20 05 2029,Noah Loureiro | Lúcia Figueiredo,9256352,453637036635351,961112752879
647,Borges,Larissa,F,2.08,PRT,03 12 1995,86528552,86528552 7 ZZ9,27 11 2022,Gonçalo Barros | Carolina Nogueira,8101679,889464713941645,181792066868
648,Carneiro,Xavier,M,1.42,PRT,12 05 1973,79130798,79130798 4 ZZ7,28 11 2030,Bruno Amaral | Nicole Baptista,6171339,256407325118614,688069336010
649,Faria,Márcio,M,1.81,PRT,26 02 1987,66794176,66794176 0 ZZ5,10 11 2027,Vítor Tavares | Júlia Vicente,2347367,827860757929507,540495884233
650,Santos,Paulo,M,1.68,PRT,01 08 1988,90870918,90870918 7 ZZ0,06 06 2031,Sérgio Neves | Lorena Paiva,8857956,323621368960912,505898606843
651,Esteves,Fernando,M,1.71,PRT,05 09 1955,50127066,50127066 3 ZZ2,19 07 2026,Gil Alves | Kyara Magalhães,5304395,12809363430194,319545113041
652,Esteves,Gabriela,F,1.72,PRT,19 03 2009,87424061,87424061 8 ZZ4,04 04 2029,Gil Gonçalves | Matilde Lourenço,8618208,408841476890959,387602717192
653,Henriques,Cláudio,M,1.68,PRT,03 01 1923,36393649,36393649 6 ZZ4,16 11 2021,Lucas Rodrigues | Kelly Matos,950797,947064022700697,625742918494
654,Fernandes,Eduarda,F,1.92,PER,13 08 1942,44372334,44372334 1 ZZ3,31 12 2022,Miguel Pinheiro | Ariana Ribeiro,6184029,429079750982740,704156178436
655,Andrade,Ivan,M,1.68,PRT,08 04 1922,6804288,06804288 4 ZZ7,11 02 2028,Tomé Miranda | Miriam Matos,9637880,306873384294070,129483230527
656,Pinheiro,Simão,M,1.41,PRT,12 01 1980,42265324,42265324 7 ZZ8,24 11 2026,Jaime Leal | Yasmin Garcia,8602755,620139329027616,430666373564
657,Rodrigues,Helena,F,1.58,PRT,25 04 1986,18987939,18987939 2 ZZ1,23 08 2031,Jaime Neves | Jéssica Cunha,1159075,657050479023071,651840161927
